DC_PRODUTO,TOKENS,TAGS
JATOBA SERRADA EM PRANCHAO,"['JATOBA', 'SERRADA', 'EM', 'PRANCHAO']","[0, 0, 0, 0]"
"SARRAFO - CUMARU-AMARELO (DIPTERYX ODORATA) BRUTO, NORMAL, FAS, AD, 25,00MM A 28,00MM X 50,00MM X 3,00M A 7,50M","['SARRAFO', '-', 'CUMARU-AMARELO', '(DIPTERYX', 'ODORATA)', 'BRUTO,', 'NORMAL,', 'FAS,', 'AD,', '25,00MM', 'A', '28,00MM', 'X', '50,00MM', 'X', '3,00M', 'A', '7,50M']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LINHA ANGELIM 5X13CM 3.50MTS,"['LINHA', 'ANGELIM', '5X13CM', '3.50MTS']","[0, 0, 0, 0]"
TAUARI MADEIRA SERR EM RIPAS,"['TAUARI', 'MADEIRA', 'SERR', 'EM', 'RIPAS']","[0, 0, 0, 0, 0]"
PINUS - SARRAFO APARELHADO DE 4 X 10 CM,"['PINUS', '-', 'SARRAFO', 'APARELHADO', 'DE', '4', 'X', '10', 'CM']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
PEQUIARANA MADEIRA SERRADA TABUA TAIPA,"['PEQUIARANA', 'MADEIRA', 'SERRADA', 'TABUA', 'TAIPA']","[0, 0, 0, 0, 0]"
QUARUBA CEDRO SERRADO EM TABUA,"['QUARUBA', 'CEDRO', 'SERRADO', 'EM', 'TABUA']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA CAIBRO PIPTADENIA SUAVEOLENS - TIMBORANA,"['MADEIRA', 'SERRADA', 'CAIBRO', 'PIPTADENIA', 'SUAVEOLENS', '-', 'TIMBORANA']","[0, 0, 0, 0, 0, 0, 0]"
AMAPA-DOCE SERRADA EM TABUA (TAIPA),"['AMAPA-DOCE', 'SERRADA', 'EM', 'TABUA', '(TAIPA)']","[0, 0, 0, 0, 0]"
CAIBROS 3X5 MISTO,"['CAIBROS', '3X5', 'MISTO']","[0, 0, 0]"
CUMARURANA SERRADA EM PRANCHAS,"['CUMARURANA', 'SERRADA', 'EM', 'PRANCHAS']","[0, 0, 0, 0]"
MADEIRA SERRADA TIPO (VIGA)-TAXI,"['MADEIRA', 'SERRADA', 'TIPO', '(VIGA)-TAXI']","[0, 0, 0, 0]"
TAUARI SERRADO EM SARRAFO,"['TAUARI', 'SERRADO', 'EM', 'SARRAFO']","[0, 0, 0, 0]"
MADEIRA SERRADA EM VIGOTAS NA ESPÉCIE ANDIROBA,"['MADEIRA', 'SERRADA', 'EM', 'VIGOTAS', 'NA', 'ESPÉCIE', 'ANDIROBA']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM SARRAFOS DA ESSENCIA - CEDRO,"['MADEIRA', 'SERRADA', 'EM', 'SARRAFOS', 'DA', 'ESSENCIA', '-', 'CEDRO']","[0, 0, 0, 0, 0, 0, 0, 0]"
FAVA - BRANCA - SERRADA EM RIPAS,"['FAVA', '-', 'BRANCA', '-', 'SERRADA', 'EM', 'RIPAS']","[0, 0, 0, 0, 0, 0, 0]"
GUAJARA CAIBRO CURTO,"['GUAJARA', 'CAIBRO', 'CURTO']","[0, 0, 0]"
LOURO SERRADA EM SARRAFOS,"['LOURO', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0]"
"VIGA MISTA (6,0X12) GUAJARA-BRANCO SERRADO","['VIGA', 'MISTA', '(6,0X12)', 'GUAJARA-BRANCO', 'SERRADO']","[0, 0, 0, 0, 0]"
LOURO-VERMELHO SERRADA CAIBRO-CAIBRINHO,"['LOURO-VERMELHO', 'SERRADA', 'CAIBRO-CAIBRINHO']","[0, 0, 0]"
PAPEL OFICIO SENNINHA VERDE,"['PAPEL', 'OFICIO', 'SENNINHA', 'VERDE']","[0, 0, 0, 0]"
"COMPENSADO 1.6 X 2.2 X 0,6 MM","['COMPENSADO', '1.6', 'X', '2.2', 'X', '0,6', 'MM']","[0, 0, 0, 0, 0, 0, 0]"
PORTA DIAGONAL TIMBORANA 80,"['PORTA', 'DIAGONAL', 'TIMBORANA', '80']","[0, 0, 0, 0]"
TABUAS DE PEQUIARANA - TAIPA,"['TABUAS', 'DE', 'PEQUIARANA', '-', 'TAIPA']","[0, 0, 0, 0, 0]"
VIGA DE CAMBARA 5X10 METRO CORRIDO,"['VIGA', 'DE', 'CAMBARA', '5X10', 'METRO', 'CORRIDO']","[0, 0, 0, 0, 0, 0]"
PRANCHA,['PRANCHA'],[0]
"LOURO VERMELHO 2,5CM","['LOURO', 'VERMELHO', '2,5CM']","[0, 0, 0]"
"MADEIRA EM TABUA DE FREIJO 4,00X0,30X3,50","['MADEIRA', 'EM', 'TABUA', 'DE', 'FREIJO', '4,00X0,30X3,50']","[0, 0, 0, 0, 0, 0]"
-MADEIRA SERRADA (PRANCHA) - DA ESPÉCIE - BREU,"['-MADEIRA', 'SERRADA', '(PRANCHA)', '-', 'DA', 'ESPÉCIE', '-', 'BREU']","[0, 0, 0, 0, 0, 0, 0, 0]"
GOIABAO SERRADO RIPAS,"['GOIABAO', 'SERRADO', 'RIPAS']","[0, 0, 0]"
MADEIRA SERRADA RIPA ( UXI ),"['MADEIRA', 'SERRADA', 'RIPA', '(', 'UXI', ')']","[0, 0, 0, 0, 0, 0]"
ANGELIM VERMELHO SARRAFOS,"['ANGELIM', 'VERMELHO', 'SARRAFOS']","[0, 0, 0]"
"MOURAO DE EUC. IMUNIZADO 4,0M - 18/20CM","['MOURAO', 'DE', 'EUC.', 'IMUNIZADO', '4,0M', '-', '18/20CM']","[0, 0, 0, 0, 0, 0, 0]"
LOURO PRETO SERRADO SARRAFOS 3 X 5,"['LOURO', 'PRETO', 'SERRADO', 'SARRAFOS', '3', 'X', '5']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM RIPAS DA ESPECIE - TAXI,"['MADEIRA', 'SERRADA', 'EM', 'RIPAS', 'DA', 'ESPECIE', '-', 'TAXI']","[0, 0, 0, 0, 0, 0, 0, 0]"
