DC_PRODUTO,TOKENS,TAGS,text
ANGELIM VERM APROVEITAMENTO RIPAS,"['ANGELIM', 'VERM', 'APROVEITAMENTO', 'RIPAS']","[0, 0, 0, 0]",angelim verm aproveitamento ripas
"CAIBRO MIXTO 4,5MT","['CAIBRO', 'MIXTO', '4,5MT']","[0, 0, 0]","caibro mixto 4,5mt"
CAIBRO 5X3 ANGELIN 5.50MT,"['CAIBRO', '5X3', 'ANGELIN', '5.50MT']","[0, 0, 0, 0]",caibro 5x3 angelin 5.50mt
TABUA DE PINNUS APLAINADA 3M X 15CM,"['TABUA', 'DE', 'PINNUS', 'APLAINADA', '3M', 'X', '15CM']","[0, 0, 0, 0, 0, 0, 0]",tabua de pinnus aplainada 3m x 15cm
TRAVE 2X10CM,"['TRAVE', '2X10CM']","[0, 0]",trave 2x10cm
"MADEIRITE 10MM 2,20X1,10MM RESINADO","['MADEIRITE', '10MM', '2,20X1,10MM', 'RESINADO']","[0, 0, 0, 0]","madeirite 10mm 2,20x1,10mm resinado"
MAD. ESP. ANG. VERMELHO INDUSTRIALIZADA DE RESIDUO,"['MAD.', 'ESP.', 'ANG.', 'VERMELHO', 'INDUSTRIALIZADA', 'DE', 'RESIDUO']","[0, 0, 0, 0, 0, 0, 0]",mad. esp. ang. vermelho industrializada de residuo
FRECHAL 5X4 ANGELIM 4.50MT,"['FRECHAL', '5X4', 'ANGELIM', '4.50MT']","[0, 0, 0, 0]",frechal 5x4 angelim 4.50mt
JOGO COZINHA EM MADEIRA,"['JOGO', 'COZINHA', 'EM', 'MADEIRA']","[0, 0, 0, 0]",jogo cozinha em madeira
CONJUNTO DE UTENSILIOS PARA COZI,"['CONJUNTO', 'DE', 'UTENSILIOS', 'PARA', 'COZI']","[0, 0, 0, 0, 0]",conjunto de utensilios para cozi
FRECHAL 5X4 ANGELIM 7.00MT,"['FRECHAL', '5X4', 'ANGELIM', '7.00MT']","[0, 0, 0, 0]",frechal 5x4 angelim 7.00mt
